 Customers accuse Kylie of selling old lip kits as new shades,0
 106-year-old woman becomes oldest person to get engaged,0
 Churchill’s lost essay on alien life uncovered,0
 Ronaldo crashes drones with football kicks,1
" BBL match&#39;s last over sees 9 balls, 3 wickets and 2 sixes",1
 In Pictures: The effects of the Ennore oil spill,1
 DC Design enters two-wheeler segment with Bullet 350,1
 EC should make me ambassador to end poll bribery: Kejriwal,1
 Companies must share benefits of globalisation: Britain PM,1
 HC judge fails to appear in SC in contempt proceedings,0
 PM takes name of God to emotionally blackmail people: Kharge,0
 Hitachi admits 32 lakh debit cards were compromised in 2016,0
 SC moves against HC judge for contempt for the 1st time,0
 Delhi batsman becomes 1st to score 300 in T20s at any level,0
" Don’t throw money at Sunny’s dance, buy tickets instead: SRK",1
 Video shows SRK&#39;s daughter performing as Cinderella in play ,0
 Apple makes feature to let users find missing AirPods,1
 World&#39;s longest commercial flight lands in New Zealand,0
 Hollywood movie to be made on Arsenal&#39;s 1989 PL title win,1
 IndiGo airline&#39;s Twitter account hacked twice in a week,1
 Mexico has taken advantage of US for long enough: Trump,1
" Highest-ever allocation to MGNREGA at ₹48,000cr for 2017-18",1
 Get your facts right: Akram tells Waqar on Kumble&#39;s 10 wkts,0
" Defamation case: Kejriwal, Azad fined over delayed response",0
 Sahara desert witnesses heaviest snowfall in living memory,1
 Modi will vote for SP if he tries new expressway: Akhilesh,0
 Google works with Facebook to reload pages 28% faster,1
 In pictures: Fashion choices of first ladies of the US,1
" Consultations on note ban began in Feb 2016, says FM Jaitley",0
 Indian holds record for longest cycle journey in a country,0
 Flyer arrested with gold worth ₹91 lakh at Mumbai Airport,0
" Skip the drama of being sanskari, says NestAway’s new ad",1
 EC orders FIR against Kejriwal over &#39;take bribe&#39; remark,1
 Govt creates ‘INSPIRE Awards-MANAK’ to take startups to school,0
 IMDb shows Game of Thrones season 7 premiere date as June 25,1
 We will eradicate radical Islamic terrorism: Trump,1
 Federer takes Aus Open trophy to top of Swiss Alps mountain,0
 Taapsee Pannu opts out of event organised by fairness cream,1
 ATM cash withdrawal limits removed from February 1,1
 99.75% cut in budget allotment for disabled sports promotion,1
 Shah Rukh Khan&#39;s &#39;Raees&#39; earns ₹93 crore in 1st weekend,1
 Thiel needs his new PA to remind him of &#34;family obligations&#34;,1
 SRK to travel by train from Mumbai to Delhi to promote Raees,1
 Tech allows wireless charging of up to 320 devices in room,0
 Braille ballot papers for visually-challenged voters in UP,0
 What is the meaning of the power symbol?,1
 What becomes cheaper after Union Budget 2017?,1
 How does the IPL auction work?,1
" Ethiopian breaks women&#39;s 2,000m world record by over 5 secs",0
 &#39;Women respected in India; US has more gender inequality&#39;,0
 BSF jawan goes missing while returning from home,1
 HC allows pregnant woman to live with rapist whom she loved,0
 Pro-Brexit leader Farage hired by Fox News as commentator,1
 Surgeons remove 60-kg stomach tumour diagnosed as ‘fat&#39;,1
 Cabinet allows interest waiver to farmers over note ban,1
 Allahabad HC stays inclusion of 17 sub-castes in SC category,1
" Air India bound to die if left like this, says Aviation Min",0
 Mumbai&#39;s street children gamble for 2-4 hours daily: Study,1
 Photograph of &#39;Firefall&#39; phenomenon captured,1
 Rest of India win Irani Cup as Saha scores double ton,1
 Influential people hid Sheena Bora murder: Rakesh Maria,1
 Chinese authorities force father of four to have vasectomy,0
 A journey into history: ISRO’s 104 satellites launch in pics,0
 Clarke to coach Aus team picked by country&#39;s Prime Minister,1
 TV Actor Anuj Saxena surrenders before court in graft case,0
 US jobless claims hit lowest level in more than 43 years,1
 Coaches eating 50% of athletes&#39; fruits at centres: Reports,1
 Ecuador leader promises to evict Assange from embassy,0
 Bombay HC to use Google Maps to check damage to mangroves,0
 Tamil Nadu Governor clears ordinance allowing Jallikattu,1
 Believing in luck a national defect in China: Buffett&#39;s aide,0
 In Pictures: Queer Azaadi March in Mumbai,1
 Paytm to invest ₹600 cr to expand QR code payment system,0
 Attorney General asks Supreme Court to recall Lodha reforms,1
 Varun Dhawan shares his first look from &#39;Judwaa 2&#39;,0
" Raveena Tandon shares old cover with Karisma, Urmila, Pooja",0
 MIT researchers find first planet-induced motion in a star,0
 NIA arrests Kerala youth in connection with IS module probe,0
" UK and EU heading for economic cold war, says Italian Min",1
 No quota once a family becomes well-off: Aparna Yadav,0
" Jio&#39;s free services offer led to revenue drop, says Vodafone",1
 Railways worker suspended for refusing to sing with Manager,1
 Mexico Prez cancels US visit over Trump&#39;s tweet on wall,1
 Japanese startup working to convert used clothes into fuel,1
 Delhi HC stays CIC order seeking inspection of PM&#39;s degree ,1
 Tsunami alert after 8-magnitude quake hits Papua New Guinea,1
 Japanese company unveils &#39;Rafre&#39; washable smartphone,1
 Does CBFC certificate have any validity: Mahesh Bhatt,1
 SEBI bars Vijay Mallya from securities market,1
