 Hot chilli peppers linked with decreased mortality: Study,0
 Opera House offers guests chance to perform in show,0
 Girl raped by her school teacher in Ahmednagar,0
 Rethink on proposal to cancel polls over bribery: EC to govt,1
 Sakshi Maharaj should be booked under Goondas Act: Lalu,1
 TRAI mute spectator to Jio&#39;s free services extension: Airtel,0
 Obama transfers $500 million to Green Climate Fund,0
 US ski resorts close due to too much snow,0
 Trump calls CIA chief &#39;leaker of fake news&#39;,1
 Hong Kong human rights situation worst since 1997: Report,0
" Minor girl, 2 women killed in landmine blast in Chhattisgarh",0
 Dravid has most consecutive ODI innings without a duck,1
 Keep ourselves informed on N Korea&#39;s nuclear missiles: Japan,0
 Australia announce 16-man Test squad for India series,1
 Ravichandran Ashwin voices support for Jallikattu,0
 Jamie Foxx attacked at Los Angeles restaurant: Reports,0
 British-Pakistani boxer Amir Khan&#39;s alleged sex tape leaked,0
 Fell in love with SRK seeing his love for my father: Johar,0
 Australia may have to play ugly against India: Nathan Lyon,0
 In Pictures: Coming of Age Day in Japan,0
 Hard for BJP to win Goa polls without RSS: Digvijaya,0
 Mike Tyson to train Chris Brown for fight against Soulja Boy,0
 Zlatan gives wife his celebration photo as Christmas gift,0
 Akshay visited Banaras for 1st time during Jolly LLB 2 shoot,0
 Sakshi Maharaj denies promoting enmity on religious grounds,0
 Gavaskar was the first Indian to &#39;carry the bat&#39; in Tests,0
 No idea why my FB post has turned into national news: Zaira,0
 Ratan Tata personally asked Mistry to resign before removal,0
 Bengaluru cancels David Guetta&#39;s show scheduled for tonight,0
 Pre-pregnancy blood pressure influences child&#39;s sex: Study,1
 Vidya Balan quits biopic on poetess Kamala Das,0
 Don&#39;t like that I am paid much less than the boys: Priyanka,0
 Lenskart raises ₹24 crore from Ronnie Screwvala’s Unilazer ,0
 What are the little buttons on the pocket of your jeans for?,0
 Samsung heir named suspect in South Korea bribery probe,0
 Recipient of transplant donates organ for 1st time in India,1
" Govt panel calls for making DD, AIR corporate entities",0
 Russian dossier is a complete fraud: Trump,0
 £2 coins mistakenly minted with Queen&#39;s head upside down,0
 Russia will respect US more under me than earlier: Trump,0
 Russia denies it has compromising details on Trump,0
 Bachchan&#39;s posters used to promote cleanliness in Varanasi,0
 Om Puri&#39;s mental health was in shambles: Naseeruddin,0
 Govt to spend $10B to make India 3rd largest aviation market,0
 PM Modi inaugurates India’s 1st international stock exchange,0
 Got 10-15% prize money compared to Sindhu: Rio gold medalist,0
 Pak PM Nawaz Sharif launches restoration of Hindu temple,0
" Feel blessed seeing that Salman, Modi are single: Rakhi",0
" What steps taken to protect kids of women prisoners, asks HC",0
 Twinkle posts video with Akshay on their wedding anniversary,1
 EC to monitor all poll rallies in Goa via live-streaming,0
 Jr NTR&#39;s Janatha Garage most watched 2016 Telugu film on TV,1
 India chase down 350 to beat England in the first ODI,0
" Cong promises ₹2,500 unemployment stipend in Punjab",0
 Congress wants to contest 100 seats in UP: Report,1
 Samsung heir faces arrest over South Korea bribery probe,0
 TMC releases second list of candidates for Punjab polls,0
 In Pictures: The Best FIFA Football Awards of 2016,0
 Over 70% of Japan&#39;s biggest coral reef has died,0
" Social media stars, bloggers walk for Dolce &amp; Gabbana",0
" PAC refutes its Chairman&#39;s remark, says PM can&#39;t be summoned",1
 Video shows hot molten rock spewed from a volcano into ocean,0
 Search engine for online food ordering Ketchupp raises ₹3 cr,0
 EC reserves order on Samajwadi Party symbol,0
 Srinagar-Jammu highway reopens 3 days after heavy snowfall,0
 Mumbai records lowest temperature in last three years,0
" Nigeria marks 1,000 days since Boko Haram abducted 276 girls",0
 Jallikattu held in Madurai village to protest ban,0
" If SP splits, I will not be a part of any side: Amar Singh",0
 PM Modi replaces Mahatma Gandhi in Khadi Udyog stationery,1
 Manmohan termed Jallikattu cruel in 2015; Cong backs it now,0
 Flipkart reshuffle triggered by valuation mark-downs: Report,1
 Prime accused in Nabha jailbreak case arrested in Indore,1
 AAP&#39;s candidate in 2014 Lok Sabha polls joins Congress,1
" After note ban, things have gone from bad to worse: Manmohan",0
 Hitler was also a powerful brand: Rahul on &#39;brand Modi&#39;,0
 New poster of Taapsee Pannu&#39;s &#39;The Ghazi Attack&#39; unveiled,0
 Kolkata girls start India&#39;s 1st all-female football fan club,0
 Ramdev joins 1 lakh people to attempt 5 Yoga world records,0
 Medicine being both overused and underused globally: Study,1
 Don&#39;t want Kashmiri youth to consider me a role model: Zaira,0
 Germany probes spread of fake news online ahead of polls,0
 US should make better cars: Germany responds to Trump threat,0
 IIT Bombay to build &#39;Research Park&#39; for startups,1
 Amazon fires worker for &#39;Uncle Adolf&#39; note to Jewish woman,0
 Mohd Faiz Subri wins FIFA Puskás Award for best goal of 2016,0
 David and Victoria Beckham to move into ₹36 crore mansion,0
 BCCI releases video of Kohli playing with dogs in stadium,0
 Delhi traffic policeman returns wallet with ₹50k to owner,1
" World needs the sustained rise of India, says PM Modi",0
 Rahul clean bowled off a late in-swinger from Willey,0
  Will lift Russian sanctions for nuke reduction deal: Trump,0
 Indian-origin dentist to pay over ₹1.7 crore in fraud case,0
 Trump demands media apologise for &#39;Golden Showers&#39; dossier,0
 China&#39;s top judge warns courts against judicial independence,0
 Flipkart&#39;s logistics arm Ekart&#39;s head quits,0
 BJP MLA booked for violation of Model Code of Conduct,1
 Housing CEO Jason Kothari joins Snapdeal,1
 Spoke to Trump on boosting Indo-US strategic ties: Modi,1
 Sri Ram Sena&#39;s Muthalik banned from entering Goa for 60 days,0
 HTC launches all-glass smartphone without headphone jack,0
 One dead as four earthquakes hit Italy in four hours,0
 Party-hopping Sidhu has lost direction in politics: BJP,0
 US consulate official shot and wounded in Mexico,0
 Man convicted of rape for removing condom without consent,0
" More 1st to effect 5 stumpings in an innings on Jan 15, 1988",0
 Bengaluru-based PaisaWapas raises angel funding ,0
 At least 5 killed in shooting outside nightclub in Mexico,0
 Kerala IAS officers plan mass leave to protest victimisation,0
" GST roll-out date deferred to July 1, says FM Jaitley",1
 Can hardly believe Trump met Russian prostitutes: Putin,0
 We need to keep the dialogue on feminism going: Kalki,0
" After Shami&#39;s wife, Sania Mirza slammed for her dress",0
 Shoe hurled at Punjab CM Parkash Singh Badal,1
 US Vice Prez Biden awarded Presidential Medal of Freedom,0
 Kumble is the only Indian bowler to take 600+ Test wickets,0
 India jealous of our investments in Sri Lanka: China,1
 BJP Punjab Prez offers to quit over ticket allotment: Report,0
 Hrithik Roshan features on January cover of &#39;Stardust&#39;,0
" MS Dhoni gets bowled on free hit, India awarded four runs",0
 Bring down the borrowings: RBI Governor to Centre &amp; State ,1
 Sasikala to decide when she wants to be CM: AIADMK spokesman,1
 Crime rate in Bihar rose by 13% after liquor ban: Survey,0
 UK to leave EU single market after Brexit,0
 Demonetisation wasn’t electoral or political decision: BJP,0
 Fellow jawans happy that I posted the video: BSF Jawan,0
 Aus Open crowd sings &#39;Happy Birthday&#39; for world no. 1 Kerber,0
 I might not play as long as Sachin Tendulkar: Virat Kohli,0
 Dhoni is the most intelligent cricketer around: Kohli,0
 Nadkarni&#39;s record of 21 straight maidens unbroken for 53 yrs,0
 Promo featuring SRK with Salman on &#39;Bigg Boss 10&#39; released,0
 Beatles&#39; McCartney sues Sony for music rights bought by MJ,0
 Govt seeks EC nod for Swachh Bharat ads in poll-bound states,1
 Govt to help Indian sailors on abandoned ships in UAE,0
 Polish minister mocked over meeting with non-existent nation,0
 Students roughed up over not standing up for national anthem,0
" Jawan in viral video is alcoholic, habitual offender: BSF",1
 Karisma Kapoor features on January cover of Femina,0
" Oracle sued by US over discrimination in pay, hiring",0
 Pune stadium is my baby: Ousted BCCI secretary,1
 Feel sorry for actors who are not graduates: Shah Rukh Khan,1
 Sony Entertainment CEO steps down to serve as Snap Chairman,0
 Two NIT students freeze to death during trek near Manali,0
 Study explains mechanism behind strength of human hair,0
 Sevilla end Real Madrid&#39;s unbeaten run with a 2-1 league win,0
 iService raises ₹3 crore in seed funding from Blume Ventures,0
" 7 terrorists seen in army uniforms, Delhi airport on alert",1
" Snapdeal losses grew 150% to ₹3,316 crore in 2016",0
 India plate wasn&#39;t isolated before Eurasian collision: Study,1
 Sania Mirza-Barbora Strycova lose Sydney International final,0
 US presidency is not a family business: Obama,1
" Luxury yacht concept with sofas, AC and bathroom unveiled",0
 PM May must set out Brexit plan by mid-Feb: UK lawmakers,0
" Pic of SRK&#39;s kids Suhana, AbRam together shared online",0
 Amul releases poster to mark Deepika&#39;s Hollywood debut ,0
 RSS chief Bhagwat denied permission to hold rally in Kolkata,0
 &#39;Bawara Mann&#39; song from Akshay Kumar&#39;s &#39;Jolly LLB 2&#39; out,1
 In Pictures: Pongal celebrations in Chennai,1
 Palestinian embassy opens in Vatican City,0
 UK admits to exporting 500 cluster bombs to Saudi Arabia,0
 Germanwings pilot held responsible for crash that killed 150,0
 Not the 1st time I was threatened: Ganguly on threat letter,1
 Om Puri was intoxicated the night before death: Police,0
" Reynolds, BAT ink $49 bn deal to form largest tobacco firm",0
 Obama offered job as &#39;President of Playlists&#39; by Spotify,1
 Over 50% of world&#39;s wild primates face extinction: Research,0
" Hyundai to invest ₹21,000 crore in US after Trump&#39;s threat",0
" Himachal temple unveils 1,600 kg butter idol",0
 Former Punjab CM Surjit Singh Barnala passes away ,0
" Pak politician misspells &#39;shirts&#39;, calls team &#39;green shits&#39;",1
" No problem between me and son, 1 person behind feud: Mulayam",0
 Madame Tussauds Delhi unveils Amitabh Bachchan waxwork,0
 World&#39;s oldest operating bookshop was established in 1732,0
 Scientists map retreating Arctic ice over the years,0
 Sniffer dogs help recover 58kg drugs ahead of Punjab polls,0
 MMA fighter knocks out opponent after faking glove touch,0
" JPMorgan to pay ₹375cr for racial bias against 53,000 people",0
 Japan aborts mini-rocket mission shortly after liftoff,1
 News on private FM has security implications: Prasar Bharati,0
" Bopanna, Jeevan win Chennai Open doubles title",0
" Pharma industry is getting away with murder, says Trump",0
 No new licenses to liquor makers in Bihar from April 1,0
 Philippine Islamist militants free two hostages,0
 Mahira Khan to promote &#39;Raees&#39; via Skype: Reports,0
 9 La Liga players included in FIFA World XI of 2016,0
" Constable who killed 4, didn&#39;t report any illness: CISF",1
" Lalu Prasad, son Tejaswi to campaign for Akhilesh Yadav",0
 Railway gatekeeper saves girl from getting crushed by train,0
 Woman claims to be staying at Singapore airport for 8 years,0
" Startup makes heels with adjustable height, heated insole",0
" We&#39;re not Uber, Amazon wannabe, says Droom Founder",1
 Netherlands&#39; KLM rated best international airline of 2016,0
 Congress responsible for terrorism in Punjab: Jaitley,0
 Petrol pumps to continue accepting card payments till Jan 13,0
 Wounded soldiers swim with dolphins as part of therapy,0
 World&#39;s eight richest people have same wealth as poorest 50%,0
 Why iPhones always display 9:41 AM time?,0
" Poor crowd at Tests, where will game be in 5 yrs: Pietersen",0
" Jawan martyred, 4 Naxalites killed in Chhattisgarh encounter",1
 Army to get 1.58 lakh helmets that can withstand 9mm bullet,0
 Wade becomes first Aussie keeper to score ODI ton in 7 years,0
 Housing sales fall to lowest level in 6 yrs due to note ban,0
" At 6 ft 8 in, Stanlake becomes Australia&#39;s tallest cricketer",0
 Demonetisation will have adverse effect on GDP: Manmohan,0
" Centre should balance safety, safeguard: Cong on Jallikattu",0
 IRCTC losing ₹2 crore a day over note ban: Chairman Manocha,0
 There are no issues between me and Kangana: Shahid,0
 Mutiny in Ivory Coast ends after two days,0
 CM of Punjab will be from Punjab: Kejriwal,1
 South China island province bans sale of coral,0
" I&#39;d kill myself if stuck in lift with Deepika, Kat: Kareena",0
 Hyderabad Police welcomes David Guetta for his concert,1
 Why is Rahul Dravid called &#39;The Wall&#39;?,1
 LG puts heat pipes in new phone to avoid battery overheating,0
" India below China, Pak in Inclusive Development Index",0
 Vodafone seeking merger amid competition from Jio: Report,0
 Rahul Gandhi must read about RSS history first: BJP,1
 Mark Zuckerberg questioned in court over VR technology theft,0
" Salman Khan shares old pic with Shah Rukh Khan, Hrithik",0
" I&#39;m SP chief, party symbol must stay with me: Mulayam to EC",0
 SpiceJet signs deal for 205 planes worth $22 bn with Boeing,0
 &#39;12345&#39; was the most common password of 2016,0
 SC asks Centre to audit 32L NGOs for fund misappropriation,0
 Jawans complaining on social media could be punished: Rawat,0
 How does an igloo keep people warm?,0
 AAP is Made in China: Sukhbir Singh Badal,0
 India A chase down 283 in 40 overs to defeat England XI,0
 Over 300 corruption complaints pending for over a year: CVC,1
" IBM becomes first company to get 8,000 US patents in a year",0
" Utd&#39;s Ronaldo scored under the wall freekick on Jan 12, 2008",1
 Duo sets record for most stairs climbed with person on head,0
 B&#39;desh keeper sets record for most catches by a substitute,0
 Player breaks racquet after losing a game in Australian Open,0
 My body least naked part of me: Kalki on performing nude,0
" Blackbuck committed suicide, tweets user on Salman&#39;s verdict",0
 Fresh snowfall shuts Srinagar-Jammu National Highway ,0
 Britain&#39;s first pregnant man claims receiving death threats,0
 Croatian football club trolls Juventus over new logo,0
" There are beer yoga classes in Australia, Germany",0
 PPAP singer releases new single &#39;I Like Orange Juice&#39;,0
 Steve Jobs unveiled the world&#39;s first iPhone 10 years ago,0
 Nawazuddin Siddiqui&#39;s &#39;Haraamkhor&#39; hits the theatres,0
 US library has a parking garage shaped like a bookshelf,0
 Zuckerberg-backed Byju&#39;s buys career guidance firm Vidyartha,0
 Will absolutely not pay for the wall: Mexico Prez,0
 Over a dozen dead in Europe due to cold,0
 &#39;Effects of demonetisation will disappear in medium term&#39;,0
 Delhi schools to be inspected for rainwater harvesting,1
 Obama tried to stop Japan improving ties with Russia: Lavrov,0
" Priyanka plans to bring Dwayne Johnson, Zac Efron to India",1
 Rider helps fellow female rider recover bike in Dakar Rally,0
